station id, station name, valid,povp. dnevna T [°C],oblačnost [%],močan veter,dež,sneg
_1895,LJUBLJANA - BEŽIGRAD,2012-03-11,8.1,43,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-12,8.9,27,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-13,9.5,50,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-14,10,17,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-15,7.7,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-16,11.4,0,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-17,11.4,13,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-18,11.8,73,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-19,9.9,97,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-20,11.1,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-21,11.9,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-22,13.2,20,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-23,13.8,30,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-24,13.8,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-25,13.5,33,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-26,12.1,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-27,12,17,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-28,15.2,10,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-29,15.1,47,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-30,14,50,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-03-31,12.7,50,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-01,6.2,43,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-02,9.3,20,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-03,11.6,93,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-04,13.5,73,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-05,13.5,80,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-06,13.7,87,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-07,9.9,83,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-08,4,77,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-09,5.2,13,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-10,8.6,30,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-11,8.6,97,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-12,10.7,37,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-13,10.5,97,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-14,10.8,100,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-15,10.5,100,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-16,10.7,87,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-17,9.4,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-18,10,67,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-19,10.5,63,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-20,9,60,ne,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-21,11.2,57,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-22,8.7,80,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-23,9.3,90,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-24,9.8,80,da,da,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-25,13,40,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-26,14.8,33,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-27,19.1,7,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-28,20.7,10,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-29,20.4,53,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-04-30,20,43,ne,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-01,18.5,33,da,ne,ne
_1895,LJUBLJANA - BEŽIGRAD,2012-05-02,18.5,67,ne,ne,ne
